id,Lake_ID,Lake_Name,Priority,CaSpec,ConcB,num,index_RABD615,index_RABD660670,index_RABD845,index_R570R630,index_R590R690,median_RABD615,median_RABD660670,median_RABD845,median_R570R630,median_R590R690,mean95_RABD615,mean95_RABD660670,mean95_RABD845,mean95_R570R630,mean95_R590R690,range95_RABD615,range95_RABD660670,range95_RABD845,range95_R570R630,range95_R590R690,meanIQR_RABD615,meanIQR_RABD660670,meanIQR_RABD845,meanIQR_R570R630,meanIQR_R590R690,rangeIQR_RABD615,rangeIQR_RABD660670,rangeIQR_RABD845,rangeIQR_R570R630,rangeIQR_R590R690,meanIndices_RABD615,meanIndices_RABD660670,meanIndices_RABD845,meanIndices_R570R630,meanIndices_R590R690
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-3 - Rotokare,7512,Rotokare,2,211.7577256,0.082805833,23,RABD615,RABD660670,RABD845,R570R630,R590R690,1.042323357,1.220680634,1.002075077,0.971215756,0.882121239,1.042743906,1.220881456,1.002380782,0.971702575,0.883784024,0.12150468,0.177299952,0.098491268,0.175978039,0.273508083,1.042326815,1.220818351,1.002159169,0.97113232,0.882364651,0.041530441,0.060175066,0.033854449,0.060027039,0.090506109,1.040640144,1.199658312,1.002395312,0.973271215,0.885298663
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-4 - 54655,54655,L_54655,2,498.8214122,0.078554012,24,RABD615,RABD660670,RABD845,R570R630,R590R690,1.144188288,1.774047603,1.026916624,1.053659748,0.931512956,1.145419372,1.792095889,1.027286462,1.055732988,0.93799414,0.217186024,0.911707732,0.088268702,0.306350205,0.472439568,1.144336011,1.77771119,1.026952666,1.053811603,0.932489788,0.071894939,0.298335766,0.030002178,0.099541172,0.146380751,1.137662772,1.735163126,1.026698747,1.058291292,0.943291982
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-5 - Von River Valley,53163,Von_River_Valley,2,119.0142396,0.075091893,25,RABD615,RABD660670,RABD845,R570R630,R590R690,1.082710253,1.332604194,0.990796239,0.875654554,0.699639931,1.083179649,1.334423806,0.990913011,0.875524913,0.700338788,0.116906614,0.171216199,0.068020195,0.131219547,0.161213669,1.082725836,1.332889519,0.990811742,0.875613142,0.699924051,0.040272172,0.056045897,0.023387612,0.043866529,0.053185584,1.079452879,1.322722694,0.990851896,0.875739562,0.700812342
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-6 - Opouahi,32478,Opouahi,2,147.7694749,0.074144825,26,RABD615,RABD660670,RABD845,R570R630,R590R690,1.03321281,1.153614475,1.000227805,0.981861295,0.903201399,1.034105433,1.153298477,1.000812121,0.984214351,0.912641689,0.165324477,0.263881165,0.113120544,0.263060388,0.513321399,1.033241927,1.153505544,1.000430451,0.982381208,0.904767325,0.055552702,0.087728737,0.038632292,0.084035545,0.169799787,1.028608957,1.122522435,1.00017338,0.988895242,0.921194006
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-7 - Rotokaha,40521,Rotokaha,2,110.2535644,0.046313353,27,RABD615,RABD660670,RABD845,R570R630,R590R690,1.026266465,1.130569894,0.988425101,0.959452232,0.880249099,1.026791632,1.131169717,0.988779232,0.95993789,0.881435735,0.123158535,0.142594262,0.100345366,0.182175817,0.268179892,1.026367356,1.130730982,0.988557414,0.959573183,0.880597119,0.041996619,0.047426133,0.034426494,0.060330235,0.08587681,1.024942935,1.109391356,0.988634803,0.961213895,0.882611029
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-8 - Long White Lagoon,25248,Long_White_Lagoon,2,43.32815255,0.037876671,28,RABD615,RABD660670,RABD845,R570R630,R590R690,1.040686018,1.185343795,0.994971554,0.925314238,0.824870105,1.041794834,1.185662579,0.995167215,0.927043732,0.827307438,0.144077138,0.204623149,0.098740268,0.247702494,0.36166113,1.041036985,1.185514902,0.994967863,0.925884462,0.824988298,0.048595278,0.067598707,0.033492737,0.081435795,0.1193242,1.03830096,1.162330145,0.995170876,0.930942985,0.831226635
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-9 - Wakatipu,53532,Wakatipu,2,12.30745161,0.032553871,29,RABD615,RABD660670,RABD845,R570R630,R590R690,0.988359133,1.015595802,0.996019166,0.928354202,0.937577511,0.988471487,1.015934285,0.996102038,0.928388376,0.937159666,0.073761458,0.068313426,0.076358951,0.11512531,0.150023103,0.988333548,1.015682617,0.995965242,0.928389233,0.937445504,0.025081685,0.022928819,0.02620413,0.038380612,0.049410486,0.988017815,1.002637206,0.995839854,0.928699771,0.937255966
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-10 - Paringa,46725,Paringa,2,5.390814746,0.031314559,30,RABD615,RABD660670,RABD845,R570R630,R590R690,1.028301819,1.087911093,0.999810746,0.856617202,0.749147147,1.030024064,1.089077506,1.000273672,0.857586432,0.752126833,0.155250105,0.171006078,0.099028572,0.238471194,0.360397493,1.028645095,1.088040025,0.999968037,0.856921179,0.749562584,0.051565457,0.055729752,0.034221998,0.076144203,0.118300051,1.025963115,1.068406941,1.000214026,0.862501649,0.757729888
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-11 - Duncan Stream 2,46496,Duncan_Stream_2,3,320.0335876,0.026995412,31,RABD615,RABD660670,RABD845,R570R630,R590R690,1.150035191,1.940994326,0.995332972,1.0772546,1.015875874,1.150456068,1.94347191,0.995411373,1.077416276,1.017223618,0.114747591,0.586445116,0.050440824,0.148615159,0.228168279,1.150155974,1.940905613,0.995324206,1.077362087,1.016128048,0.038281143,0.186298875,0.017271396,0.047619442,0.074337201,1.147529373,1.919009428,0.995310745,1.077841529,1.018283
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-12 - Horseshoe 26277,26277,Horseshoe_26277,3,137.3425528,0.026273234,32,RABD615,RABD660670,RABD845,R570R630,R590R690,1.036585468,1.170383173,1.004675109,0.968232257,0.873536951,1.03706181,1.169179099,1.004930063,0.969711292,0.877777918,0.137130169,0.221182071,0.098912236,0.218178675,0.390688153,1.036704815,1.170074729,1.004716957,0.968430105,0.874282681,0.046012933,0.074395923,0.034128054,0.070253625,0.124019804,1.033445924,1.146342319,1.004880698,0.972359403,0.881484263
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-13 - Kaikore,40535,Kaikiore,3,89.44496055,0.025164474,33,RABD615,RABD660670,RABD845,R570R630,R590R690,1.030518829,1.158585007,0.993187944,0.976949086,0.887157005,1.030966716,1.159093538,0.993424631,0.977167212,0.886973103,0.113160824,0.141546666,0.09693196,0.140070523,0.206812831,1.030546203,1.158655791,0.99321352,0.976953171,0.887138874,0.038360706,0.047622177,0.033437378,0.047714692,0.068992726,1.029368057,1.138122612,0.993289146,0.977518914,0.887269557
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-14 - Westmere,18951,Westmere,3,110.0131754,0.022189008,34,RABD615,RABD660670,RABD845,R570R630,R590R690,1.046015504,1.214085618,0.990671612,0.913640289,0.788970139,1.047045968,1.216179063,0.990890028,0.914127106,0.789629146,0.145177434,0.191460973,0.096512773,0.202936669,0.288399828,1.046232012,1.214510456,0.990674039,0.913683881,0.788835066,0.049458423,0.062846054,0.033233005,0.067059406,0.095956559,1.043817805,1.196926815,0.990653853,0.915895981,0.791940437
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-15 - Ida,48455,Ida,3,51.48783511,0.021682309,35,RABD615,RABD660670,RABD845,R570R630,R590R690,1.038119739,1.213570906,0.994407094,0.962209153,0.856403887,1.03853461,1.215321925,0.994536167,0.96098969,0.855572063,0.084347447,0.148726011,0.062941433,0.153748391,0.227142393,1.038160035,1.214059991,0.994464761,0.962018484,0.856502405,0.028482652,0.046930504,0.021883135,0.048307306,0.071191625,1.036909907,1.206322257,0.99442417,0.961688578,0.856062272
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-16 - Whakaki Lagoon,34665,Whakaki_Lagoon,3,14.86777584,0.018612799,36,RABD615,RABD660670,RABD845,R570R630,R590R690,1.019957299,1.095403812,1.005073657,1.006694164,0.947719221,1.020677421,1.098327191,1.00561877,1.007700159,0.952112345,0.106388079,0.197225615,0.09318591,0.154541246,0.285752181,1.020065644,1.09561765,1.005285081,1.00681946,0.948976215,0.035690739,0.049656858,0.031786692,0.051344908,0.094581007,1.019372355,1.081111327,1.005157914,1.008524522,0.954164638
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-17 - Gault,45686,Gault,3,91.33230444,0.014151119,37,RABD615,RABD660670,RABD845,R570R630,R590R690,1.045745308,1.176300263,0.984798279,0.783331157,0.617492201,1.047615117,1.17822073,0.985047785,0.783461913,0.618182956,0.172063335,0.208851094,0.098562879,0.23621223,0.29634863,1.046017701,1.176717636,0.984801629,0.783280354,0.617388979,0.056979189,0.066823342,0.033707597,0.077071008,0.095982803,1.041687644,1.157034393,0.985106585,0.787758666,0.622151115
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-18 - Denny,41293,Denny,3,16.29164954,0.009347042,38,RABD615,RABD660670,RABD845,R570R630,R590R690,1.019281002,1.108101448,0.994023951,0.905888517,0.813980187,1.019592451,1.108661306,0.994196977,0.90535453,0.812894888,0.074543956,0.081831835,0.061107612,0.104574648,0.145209939,1.019371345,1.108168568,0.994081702,0.905760897,0.813775627,0.025345892,0.027230177,0.021142668,0.034428677,0.046282266,1.01818685,1.100232223,0.994111188,0.905683517,0.813188146
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-19 - Douglas,46212,Douglas,3,15.36431294,0.005293549,39,RABD615,RABD660670,RABD845,R570R630,R590R690,1.017427808,1.075670818,0.993680178,0.968467294,0.899833942,1.017467564,1.075331432,0.994191846,0.971041699,0.907782425,0.143678436,0.178870478,0.109791061,0.24493473,0.413024689,1.017441829,1.075663016,0.993805452,0.9688344,0.901076758,0.046469704,0.057851337,0.037248743,0.077471279,0.125604474,1.014567302,1.050989694,0.994354631,0.975431685,0.914079913
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-20 - Ohau,45514,Ohau,3,1.350625502,0.004927104,40,RABD615,RABD660670,RABD845,R570R630,R590R690,0.999187569,1.017230768,0.998523559,1.000850926,0.997778751,0.999319276,1.017567398,0.998628663,1.001016551,0.997640225,0.071802837,0.059481829,0.079428357,0.082532161,0.097191977,0.999200854,1.017352766,0.998527091,1.000826124,0.997647352,0.025007568,0.020078421,0.027555313,0.028617334,0.033975276,0.999194683,1.002847165,0.99837213,1.000908181,0.997420855
Lakes380_PIG_BChl_2_2021-06-25_02-53-36_roi-21 - Lochnagar,54177,Lake_Lochnager,3,4.780371214,0.003643167,41,RABD615,RABD660670,RABD845,R570R630,R590R690,1.003843365,1.029003548,0.999761661,0.978389124,0.946756952,1.003974017,1.029171236,0.999951994,0.980591734,0.952301478,0.133004926,0.171061643,0.101805356,0.244492722,0.425756287,1.003789705,1.02891767,0.99980107,0.978626993,0.947579416,0.039512995,0.049903158,0.033316089,0.069512932,0.126152771,1.001582078,1.009133295,0.999285064,0.985927524,0.958724448
